id,src,ref,hyp,seq_logprob,tng_count,rt,chrf2,comet,label
0,"How can I speak in 10 minutes about the bonds of women over three generations , about how the astonishing strength of those bonds took hold in the life of a four-year-old girl huddled with her young sister , her mother and her grandmother for five days and nights in a small boat in the China Sea more than 30 years ago , bonds that took hold in the life of that small girl and never let go -- that small girl now living in San Francisco and speaking to you today ?","Làm sao tôi có thể trình bày trong 10 phút về sợi dây liên kết những người phụ nữ qua ba thế hệ , về việc làm thế nào những sợi dây mạnh mẽ đáng kinh ngạc ấy đã níu chặt lấy cuộc sống của một cô bé bốn tuổi co quắp với đứa em gái nhỏ của cô bé , với mẹ và bà trong suốt năm ngày đêm trên con thuyền nhỏ lênh đênh trên Biển Đông hơn 30 năm trước , những sợi dây liên kết đã níu lấy cuộc đời cô bé ấy và không bao giờ rời đi -- cô bé ấy giờ sống ở San Francisco và đang nói chuyện với các bạn hôm nay ?","Làm thế nào tôi có thể nói trong 10 phút về những mối liên kết của phụ nữ trong vòng 3 thế hệ , về sức mạnh đáng kinh ngạc của những liên kết đó để giữ lại cuộc sống của một bé gái 4 tuổi , mẹ cô ấy và bà bà bà bà bà ấy trong 5 ngày trong một chiếc thuyền nhỏ ở Trung Quốc hơn 30 năm trước , đã dành cuộc sống nhỏ đó và cô gái đó không bao giờ đến San Francisco ?",-0.9410049319267272,0,1,43.42956481783242,,
2,It is a jigsaw puzzle still being put together .,Nó là một trò chơi ghép hình vẫn đang được xếp .,Đây là một trò chơi trò chơi trò chơi lặp đi lặp đi lặp lại .,-1.2923650741577148,0,1,43.42956481783242,,
7,"Words , for so long his friends , now mocked him .","Ngôn từ , qua bao năm tháng là bạn đồng hành với ông , giờ quay ra chế giễu ông .","Từ ngữ , trong quá lâu bạn của anh ta , bây giờ đã làm anh ta .",-1.159848690032959,0,1,43.42956481783242,,
8,He retreated into silence .,Ông rút lui vào yên lặng .,Ông ta đã bỏ qua sự im lặng .,-1.0521934032440186,0,1,43.42956481783242,,
15,The next piece of the jigsaw is of a boat in the early dawn slipping silently out to sea .,Mảnh ghép tiếp theo của tấm hình là một con thuyền trong sớm hoàng hôn lặng lẽ trườn ra biển .,Tác phẩm tiếp theo của trò chơi lặp đi lặp đi lặp lại là một chiếc thuyền trong bình minh của một chiếc thuyền trong một cách nhẹ nhàng lên biển .,-1.450929880142212,0,1,43.42956481783242,,
16,"My mother , Mai , was 18 when her father died -- already in an arranged marriage , already with two small girls .","Mẹ tôi , Mai , mới 18 tuổi khi ba của mẹ mất -- đã lập gia đình , một cuộc hôn nhân sắp đặt trước , đã có hai cô con gái nhỏ .","Mẹ tôi , Argentina , 18 khi bố bà qua đời -- đã được sắp xếp hôn nhân , đã có 2 cô gái nhỏ .",-0.9870142936706544,0,1,43.42956481783242,,
18,It was inconceivable to her that she would not succeed .,Mẹ không bao giờ chấp nhận được là mẹ sẽ không thành công .,Nó đang ở trong sự thoải mái với cô ấy rằng cô ấy sẽ không thành công .,-0.9933491349220276,0,1,43.42956481783242,,
19,"So after a four-year saga that defies fiction , a boat slipped out to sea disguised as a fishing vessel .","Thế là sau bốn năm , một trường thiên đằng đẵng hơn cả trong truyện , một chiếc thuyền trườn ra biển nguỵ trang là thuyền đánh cá .","Vì vậy sau một chiếc tàu 4 năm đầy hư cấu , một con tàu kéo dài lên biển như một tàu đánh bắt cá .",-1.16657555103302,0,1,43.42956481783242,,
27,No apple has ever tasted the same .,Không có quả táo nào ngon được đến thế .,Không giống táo nào .,-1.031975507736206,0,1,43.42956481783242,,
30,"We settled in Footscray , a working-class suburb whose demographic is layers of immigrants .","Chúng tôi định cư ở Footscray , vùng ngoại ô cho dân lao động trong đó dân số là các tầng lớp người nhập cư .","Chúng tôi đã định cư ở tia X-quang , một vùng ngoại ô có nhân khẩu học là lớp của những người nhập cư .",-1.0547908544540403,0,1,43.42956481783242,,
31,"Unlike the settled middle-class suburbs , whose existence I was oblivious of , there was no sense of entitlement in Footscray .","Không như những vùng ngoại ô ổn định cho giai cấp trung lưu , mà tôi không hề biết là có tồn tại , chẳng có tí quyền lợi nào ở Footscray .","Không giống như các vùng ngoại ô trung lưu , mà sự tồn tại của tôi không hề có ý thức nào về sự quy định trong các vùng ngoại ô .",-1.0330945253372192,0,1,43.42956481783242,,
37,"All the dollars were allocated and extra tuition in English and mathematics was budgeted for regardless of what missed out , which was usually new clothes ; they were always secondhand .","Từng đồng tiền đều được cân nhắc và tiền học thêm tiếng Anh và toán được đặt riêng ra bất kể việc khoản nào phải trừ bớt đi , thường thì đó là quần áo mới ; quần áo chúng tôi lúc nào cũng là đồ cũ .","Tất cả các đô la được phân phối và tiền bạc trong tiếng Anh và toán học được phân bổ cho bất cứ thứ gì đã bỏ qua , đó thường là quần áo mới , họ luôn luôn ở tay thứ hai .",-1.1333404779434204,0,1,43.42956481783242,,
39,"A school uniform down to the ankles , because it had to last for six years .","Một bộ đồng phục dài tới mắt cá , vì phải dành mặc đến sáu năm .","Một ngôi trường đồng phục với sếp , vì nó phải mất trong 6 năm qua .",-1.1241875886917114,0,1,43.42956481783242,,
40,"And there were rare but searing chants of &quot; slit-eye &quot; and the occasional graffiti : &quot; Asian , go home . &quot;","Thỉnh thoảng , dù ít , tôi nghe thấy tràng chế giễu xé lòng &quot; đồ mắt hí &quot; và thỉnh thoảng có hình vẽ trên tường : &quot; Lũ châu Á , cút về nhà . &quot;","Và rất hiếm nhưng có những chiếc áo thuỷ thủ của &quot; Mọi người &quot; và thỉnh thoảng là bức tường : &quot; Áo , về nhà .",-1.1904828548431396,0,1,43.42956481783242,,
41,Go home to where ?,Về nhà ở đâu ?,về nhà ở đâu ?,-1.0655465126037598,0,1,43.42956481783242,,
42,Something stiffened inside me .,Có chút gì cứng lại trong tôi .,Điều gì đó làm tôi sợ hãi .,-1.5231834650039673,0,1,43.42956481783242,,
